Time,C_in,C,C_next
209,3.03117732701778,1.09900927495252,1.09893756674795
210,3.03083191129753,1.09893756674795,1.09886201089971
211,3.03046587092407,1.09886201089971,1.09878088308926
212,3.03007919991599,1.09878088308926,1.09869634561728
213,3.02967189447653,1.09869634561728,1.09860612941031
214,3.02924395299828,1.09860612941031,1.09851225703505
215,3.02879537606759,1.09851225703505,1.09841320269184
216,3.02832616646856,1.09841320269184,1.09830977581818
217,3.02783632918685,1.09830977581818,1.09820196738672
218,3.02732587141303,1.09820196738672,1.09808898504552
219,3.02679480254572,1.09808898504552,1.09797234135816
220,3.02624313419429,1.09797234135816,1.0978500254719
221,3.02567088018131,1.0978500254719,1.09772429533208
222,3.02507805654469,1.09772429533208,1.09759299510058
223,3.02446468153941,1.09759299510058,1.09745785279214
224,3.02383077563897,1.09745785279214,1.09731778130416
225,3.02317636153654,1.09731778130416,1.0971730903159
226,3.02250146414572,1.0971730903159,1.09702429478867
227,3.02180611060101,1.09702429478867,1.09687013837567
228,3.02109033025795,1.09687013837567,1.09671249898185
229,3.02035415469292,1.09671249898185,1.09654918610278
230,3.01959761770259,1.09654918610278,1.09638241058185
231,3.01882075530306,1.09638241058185,1.09621028023304
232,3.01802360572874,1.09621028023304,1.09603410059067
233,3.01720620943071,1.09603410059067,1.09585332717314
234,3.016368609075,1.09585332717314,1.09566769579307
235,3.01551084954031,1.09566769579307,1.09547828234301
236,3.01463297791556,1.09547828234301,1.09528338170816
237,3.01373504349702,1.09528338170816,1.09508515550741
238,3.01281709778517,1.09508515550741,1.09488137365821
239,3.01187919448119,1.09488137365821,1.09467401253628
240,3.01092138948313,1.09467401253628,1.09446164951276
241,3.00994374088177,1.09446164951276,1.09424497770601
242,3.00894630895611,1.09424497770601,1.09402415537874
243,3.00792915616863,1.09402415537874,1.09379823654604
244,3.00689234716007,1.09379823654604,1.09356889344172
245,3.00583594874403,1.09356889344172,1.09333404524003
246,3.00476002990117,1.09333404524003,1.09309592459857
247,3.00366466177308,1.09309592459857,1.09285255594787
248,3.0025499176559,1.09285255594787,1.09260537170978
249,3.00141587299347,1.09260537170978,1.09235371782275
250,3.00026260537036,1.09235371782275,1.09209742347136
251,2.9990901945044,1.09209742347136,1.09183752450685
252,2.99789872223897,1.09183752450685,1.0915723405344
253,2.99668827253499,1.0915723405344,1.09130403204317
254,2.99545893146252,1.09130403204317,1.0910304113723
255,2.99421078719213,1.0910304113723,1.0907533632813
256,2.99294392998589,1.0907533632813,1.09047164623586
257,2.99165845218805,1.09047164623586,1.09018571307113
258,2.99035444821544,1.09018571307113,1.08989602923807
259,2.98903201454757,1.08989602923807,1.08960135426797
260,2.98769124971631,1.08960135426797,1.08930361209948
261,2.98633225429545,1.08930361209948,1.08900063777004
262,2.98495513088972,1.08900063777004,1.08869452005084
263,2.98355998412375,1.08869452005084,1.08838367767709
264,2.98214692063051,1.08838367767709,1.08806895869613
265,2.98071604903958,1.08806895869613,1.08775044936328
266,2.97926747996508,1.08775044936328,1.08742722189511
267,2.97780132599328,1.08742722189511,1.08710100199871
268,2.97631770166997,1.08710100199871,1.08676970225668
269,2.97481672348744,1.08676970225668,1.08643546764502
270,2.97329850987125,1.08643546764502,1.08609659221021
271,2.9717631811667,1.08609659221021,1.08575407031141
272,2.97021085962494,1.08575407031141,1.08540786496549
273,2.96864166938888,1.08540786496549,1.08505713634254
274,2.96705573647876,1.08505713634254,1.08470357156775
275,2.96545318877744,1.08470357156775,1.08434510621877
276,2.96383415601544,1.08434510621877,1.08398385924506
277,2.96219876975564,1.08398385924506,1.08361819312762
278,2.96054716337779,1.08361819312762,1.08324898345671
279,2.95887947206264,1.08324898345671,1.08287636696915
280,2.9571958327759,1.08287636696915,1.08249932160935
281,2.95549638425184,1.08249932160935,1.08211969015049
282,2.95378126697668,1.08211969015049,1.08173536961606
283,2.95205062317171,1.08173536961606,1.08134834037943
284,2.9503045967761,1.08134834037943,1.08095727944429
285,2.9485433334295,1.08095727944429,1.0805626267711
286,2.94676698045435,1.0805626267711,1.0801650210348
287,2.94497568683797,1.0801650210348,1.07976301079313
288,2.94316960321434,1.07976301079313,1.07935868680418
289,2.94134888184569,1.07935868680418,1.07894999908931
290,2.9395136766038,1.07894999908931,1.07853851227192
291,2.93766414295106,1.07853851227192,1.07812360208991
292,2.93580043792134,1.07812360208991,1.07770489778064
293,2.93392272010049,1.07770489778064,1.07728381894264
294,2.93203114960681,1.07728381894264,1.07685843295677
295,2.93012588807104,1.07685843295677,1.0764308066917
296,2.92820709861635,1.0764308066917,1.0759994264767
297,2.92627494583793,1.0759994264767,1.07556490631107
298,2.92432959578245,1.07556490631107,1.07512779792935
299,2.92237121592727,1.07512779792935,1.07468667710392
300,2.92039997515943,1.07468667710392,1.07424362229496
301,2.91841604375441,1.07424362229496,1.07379669809133
302,2.91641959335472,1.07379669809133,1.07334718305138
303,2.91441079694823,1.07334718305138,1.07289491278827
304,2.91238982884634,1.07289491278827,1.0724390080348
305,2.91035686466189,1.0724390080348,1.07198131325443
306,2.90831208128695,1.07198131325443,1.07151981540962
307,2.90625565687035,1.07151981540962,1.07105613217433
308,2.90418777079501,1.07105613217433,1.07058965665668
309,2.90210860365513,1.07058965665668,1.07011988674658
310,2.90001833723319,1.07011988674658,1.06964844515984
311,2.89791715447671,1.06964844515984,1.06917336749994
312,2.89580523947488,1.06917336749994,1.06869637752428
313,2.893682777435,1.06869637752428,1.06821671237934
314,2.89154995465876,1.06821671237934,1.06773398784918
315,2.88940695851834,1.06773398784918,1.0672497725628
316,2.88725397743231,1.0672497725628,1.06676213517512
317,2.88509120084148,1.06676213517512,1.06627273628342
318,2.88291881918441,1.06627273628342,1.06578094137022
319,2.88073702387297,1.06578094137022,1.06528619996495
320,2.87854600726758,1.06528619996495,1.06479022049849
321,2.87634596265244,1.06479022049849,1.06429108781304
322,2.87413708421045,1.06429108781304,1.06379020079571
323,2.87191956699822,1.06379020079571,1.06328736883828
324,2.86969360692068,1.06328736883828,1.0627816194849
325,2.8674594007058,1.0627816194849,1.06227486748244
326,2.86521714587903,1.06227486748244,1.06176536579324
327,2.86296704073763,1.06176536579324,1.06125393273711
328,2.86070928432496,1.06125393273711,1.06074116103623
329,2.85844407640458,1.06074116103623,1.0602255427529
330,2.85617161743427,1.0602255427529,1.05970893424894
331,2.8538921085399,1.05970893424894,1.05919024236135
332,2.85160575148925,1.05919024236135,1.05866928607111
333,2.84931274866572,1.05866928607111,1.05814759958628
334,2.84701330304188,1.05814759958628,1.05762338418474
335,2.84470761815301,1.05762338418474,1.05709779930142
336,2.84239589807052,1.05709779930142,1.05657107184793
337,2.84007834737523,1.05657107184793,1.05604190127083
338,2.83775517113069,1.05604190127083,1.05551208102227
339,2.83542657485628,1.05551208102227,1.05498058719925
340,2.83309276450036,1.05498058719925,1.05444709972496
341,2.83075394641326,1.05444709972496,1.05391326306444
342,2.82841032732028,1.05391326306444,1.05337742339503
343,2.82606211429456,1.05337742339503,1.05284021853539
344,2.82370951472994,1.05284021853539,1.05230256031792
345,2.82135273631376,1.05230256031792,1.0517628654978
346,2.81899198699957,1.0517628654978,1.05122238500431
347,2.81662747497988,1.05122238500431,1.05068123206433
348,2.81425940865878,1.05068123206433,1.05013818787254
349,2.81188799662456,1.05013818787254,1.04959479336532
350,2.80951344762233,1.04959479336532,1.04905055679847
351,2.80713597052655,1.04905055679847,1.04850465052779
352,2.80475577431359,1.04850465052779,1.04795868355527
353,2.80237306803423,1.04795868355527,1.04741181813558
354,2.79998806078617,1.04741181813558,1.04686350658916
355,2.79760096168652,1.04686350658916,1.04631531756312
356,2.79521197984428,1.04631531756312,1.04576629828028
357,2.79282132433281,1.04576629828028,1.04521601592641
358,2.79042920416233,1.04521601592641,1.04466596566884
359,2.78803582825237,1.04466596566884,1.04411527442575
360,2.78564140540432,1.04411527442575,1.04356345761119
361,2.78324614427387,1.04356345761119,1.04301189988342
362,2.78085025334358,1.04301189988342,1.04246001298829
363,2.77845394089541,1.04246001298829,1.0419071308721
364,2.77605741498329,1.0419071308721,1.04135439880043
365,2.77366088340571,1.04135439880043,1.04080175899887
366,2.77126455367839,1.04080175899887,1.04024833093346
367,2.76886863300691,1.04024833093346,1.0396947781182
368,2.76647332825946,1.0396947781182,1.0391417316138
369,2.76407884593955,1.0391417316138,1.0385882852774
370,2.76168539215889,1.0385882852774,1.0380344927116
371,2.7592931726102,1.0380344927116,1.03748119550467
372,2.75690239254017,1.03748119550467,1.0369280528159
373,2.75451325672242,1.0369280528159,1.03637484386479
374,2.75212596943055,1.03637484386479,1.03582175604169
375,2.7497407344113,1.03582175604169,1.03526894791921
376,2.74735775485772,1.03526894791921,1.03471640262614
377,2.74497723338244,1.03471640262614,1.0341646077823
378,2.74259937199105,1.0341646077823,1.03361314425683
379,2.74022437205555,1.03361314425683,1.03306106896288
380,2.73785243428786,1.03306106896288,1.03251007397378
381,2.73548375871348,1.03251007397378,1.03196087644994
382,2.73311854464522,1.03196087644994,1.03141137521054
383,2.730756990657,1.03141137521054,1.03086134405022
384,2.72839929455784,1.03086134405022,1.0303132479532
385,2.72604565336588,1.0303132479532,1.02976612845677
386,2.72369626328255,1.02976612845677,1.02921851252247
387,2.72135131966687,1.02921851252247,1.02867244793573
388,2.71901101700982,1.02867244793573,1.0281274482044
389,2.71667554890893,1.0281274482044,1.02758250335632
390,2.71434510804289,1.02758250335632,1.0270392456503
391,2.71201988614636,1.0270392456503,1.02649708492088
392,2.70970007398493,1.02649708492088,1.02595505934472
393,2.70738586133017,1.02595505934472,1.0254149654707
394,2.70507743693484,1.0254149654707,1.02487607134694
395,2.70277498850831,1.02487607134694,1.02433740845136
396,2.70047870269202,1.02433740845136,1.02380086167287
397,2.69818876503519,1.02380086167287,1.02326550998908
398,2.69590535997066,1.02326550998908,1.0227306743243
399,2.69362867079089,1.0227306743243,1.02219813248437
400,2.69135887962411,1.02219813248437,1.02166663925857
401,2.68909616741069,1.02166663925857,1.02113608162958
402,2.68684071387962,1.02113608162958,1.0206079647009
403,2.68459269752523,1.0206079647009,1.02008067822758
404,2.68235229558406,1.02008067822758,1.01955486181049
405,2.68011968401188,1.01955486181049,1.01903151162673
406,2.67789503746099,1.01903151162673,1.01850881853212
407,2.67567852925763,1.01850881853212,1.01798820576236
408,2.67347033137959,1.01798820576236,1.01746986691458
409,2.67127061443409,1.01746986691458,1.01695225204199
410,2.66907954763578,1.01695225204199,1.01643726607531
411,2.66689729878496,1.01643726607531,1.01592410882035
412,2.6647240342461,1.01592410882035,1.01541216385562
413,2.66255991892638,1.01541216385562,1.01490313957538
414,2.66040511625469,1.01490313957538,1.01439542646271
415,2.65825978816062,1.01439542646271,1.01388970990044
416,2.65612409505382,1.01388970990044,1.01338683618072
417,2.65399819580352,1.01338683618072,1.01288500901363
418,2.65188224771828,1.01288500901363,1.01238598886852
419,2.64977640652603,1.01238598886852,1.0118892812586
